Age,MeanDNE.Apex,MedianDNE.Apex,MeanDNE.Convex,MeanDNE.Concave,Proportion.DNEunder0.0001,Population
28,0.019749 ,0.004763 ,0.012092 ,0.009558 ,0.007312 ,Southeast Asian
39,0.021767 ,0.010490 ,0.012435 ,0.014469 ,0.007071 ,Southeast Asian
36,0.022953 ,0.010221 ,0.013563 ,0.014750 ,0.006987 ,Southeast Asian
22,0.033347 ,0.006146 ,0.015930 ,0.015024 ,0.007134 ,Southeast Asian
55,0.045844 ,0.013647 ,0.016442 ,0.016665 ,0.003998 ,Southeast Asian
22,0.024343 ,0.008214 ,0.013660 ,0.010862 ,0.008959 ,Southeast Asian
39,0.034890 ,0.012682 ,0.015278 ,0.018665 ,0.007063 ,Southeast Asian
22,0.015239 ,0.002086 ,0.012868 ,0.009581 ,0.009721 ,Southeast Asian
74,0.036567 ,0.014487 ,0.019775 ,0.029816 ,0.004059 ,Southeast Asian
37,0.023417 ,0.006369 ,0.021591 ,0.017894 ,0.009776 ,Southeast Asian
28,0.023334 ,0.005390 ,0.014622 ,0.010692 ,0.006349 ,Southeast Asian
59,0.018494 ,0.019736 ,0.017281 ,0.020220 ,0.004192 ,Southeast Asian
33,0.026939 ,0.004055 ,0.017436 ,0.012492 ,0.009156 ,Southeast Asian
49,0.028056 ,0.015704 ,0.016929 ,0.016392 ,0.006472 ,Southeast Asian
45,0.031663 ,0.015571 ,0.015612 ,0.018468 ,0.005414 ,Southeast Asian
35,0.027673 ,0.004549 ,0.017207 ,0.010812 ,0.007642 ,Southeast Asian
36,0.034076 ,0.004017 ,0.016316 ,0.013160 ,0.006306 ,Southeast Asian
39,0.025793 ,0.010822 ,0.017712 ,0.011033 ,0.007226 ,Southeast Asian
36,0.029901 ,0.009305 ,0.020316 ,0.015437 ,0.007878 ,Southeast Asian
23,0.013509 ,0.004026 ,0.010956 ,0.010883 ,0.009168 ,Southeast Asian
52,0.022226 ,0.014556 ,0.021369 ,0.015469 ,0.004605 ,Southeast Asian
76,0.040856 ,0.017982 ,0.020448 ,0.031396 ,0.002937 ,Southeast Asian
55,0.023107 ,0.010292 ,0.020709 ,0.030798 ,0.003769 ,Southeast Asian
39,0.023071 ,0.009070 ,0.012471 ,0.014084 ,0.009073 ,Southeast Asian
39,0.030950 ,0.007396 ,0.016337 ,0.014466 ,0.008455 ,Southeast Asian
61,0.050920 ,0.015398 ,0.021426 ,0.029079 ,0.005333 ,Southeast Asian
90,0.047679 ,0.019931 ,0.027668 ,0.031712 ,0.003758 ,Southeast Asian
35,0.018172 ,0.006622 ,0.020653 ,0.013901 ,0.008038 ,Southeast Asian
61,0.048011 ,0.016654 ,0.021439 ,0.030863 ,0.004357 ,Southeast Asian
53,0.042028 ,0.018103 ,0.014956 ,0.016253 ,0.003502 ,Southeast Asian
75,0.048182 ,0.008437 ,0.021565 ,0.031680 ,0.002720 ,Southeast Asian
38,0.017038 ,0.005892 ,0.018101 ,0.018356 ,0.005000 ,Southeast Asian
36,0.023275 ,0.007415 ,0.016981 ,0.014389 ,0.006904 ,Southeast Asian
76,0.036558 ,0.014578 ,0.016872 ,0.035000 ,0.003094 ,Southeast Asian
54,0.044853 ,0.007703 ,0.015969 ,0.016187 ,0.004496 ,Southeast Asian
72,0.051714 ,0.010375 ,0.017877 ,0.016040 ,0.003653 ,Southeast Asian
38,0.020974 ,0.008186 ,0.017407 ,0.014836 ,0.007770 ,Southeast Asian
65,0.030886 ,0.015399 ,0.018135 ,0.021849 ,0.004298 ,Southeast Asian
23,0.019262 ,0.004725 ,0.015727 ,0.010968 ,0.007964 ,Southeast Asian
67,0.028185 ,0.012994 ,0.024403 ,0.018392 ,0.004242 ,Southeast Asian
51,0.015272 ,0.010459 ,0.018164 ,0.017376 ,0.005918 ,Southeast Asian
38,0.023453 ,0.005311 ,0.015150 ,0.014590 ,0.007306 ,Southeast Asian
40,0.031351 ,0.008864 ,0.020456 ,0.019632 ,0.005093 ,Southeast Asian
70,0.049346 ,0.011017 ,0.020252 ,0.032113 ,0.003520 ,Southeast Asian
59,0.045345 ,0.013505 ,0.017115 ,0.018047 ,0.004923 ,Southeast Asian
37,0.023448 ,0.007643 ,0.018717 ,0.014361 ,0.007284 ,Southeast Asian
39,0.028665 ,0.014853 ,0.014919 ,0.015040 ,0.007787 ,Southeast Asian
37,0.025580 ,0.007983 ,0.017135 ,0.015574 ,0.007364 ,Southeast Asian
75,0.043822 ,0.010126 ,0.021463 ,0.031682 ,0.004275 ,Southeast Asian
35,0.029175 ,0.002733 ,0.016674 ,0.015908 ,0.006818 ,Southeast Asian
